Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.798794,0,0,0,0,3.40388,-8.91364,8.47859,-2.84104,0,0,0,0,2.45672,-6.91977,6.93053,-2.41213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.672738,0.1,0.172311,-0.0243022,-0.054911,4.20391,-16.0782,20.9177,-9.18595,0.0496673,0.059402,-0.0126732,-0.0275581,3.60679,-13.0435,16.3868,-7.03378,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.685714,0.2,0.0520664,0.014142,0.0131043,8.31395,-28.9294,34.9758,-14.5173,0.0973546,0.0231523,0.00601632,0.00642128,3.66286,-12.7603,15.4344,-6.40794,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.661272,0.3,0.0830036,-0.00542056,-0.00646599,9.0366,-32.8634,41.4952,-17.9551,0.141161,0.0350266,-0.0043,-0.003365,3.40888,-12.4455,15.7543,-6.82866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.662591,0.4,0.0717193,0.00305513,0.00272465,9.09471,-32.9006,41.3342,-17.8096,0.179339,0.0244194,-0.000593644,0.00123239,2.81924,-10.2396,12.8925,-5.56274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.638236,0.5,0.0783965,-0.000558582,-0.0012041,10.6278,-39.9691,52.1969,-23.3702,0.210368,0.0215381,-0.002882,-0.000713986,2.36592,-8.96597,11.7637,-5.28346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.642555,0.6,0.0774005,0.00087227,0.000478467,10.1975,-38.0753,49.367,-21.947,0.23301,0.0138131,-0.00253591,0.000164415,1.33582,-5.05177,6.59864,-2.94786,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.625461,0.7,0.0791627,2.25734e-05,-0.000288811,11.5586,-44.3538,59.0969,-26.9965,0.246362,0.00684399,-0.0031444,-0.000163172,0.364502,-1.47842,2.03415,-0.948866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.626211,0.8,0.0789916,4.38804e-05,3.0117e-05,11.5116,-44.1225,58.718,-26.7911,0.249893,-0.00121542,-0.0030866,5.82526e-05,-0.78037,2.91489,-3.81841,1.72376,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.644701,0.9,0.0787494,-0.000317386,-9.9787e-05,10.035,-37.3662,48.3063,-21.4102,0.243462,-0.00891372,-0.00300105,4.34999e-05,-1.65815,6.11076,-7.85017,3.46459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.638512,1,0.0777102,-0.000440983,-1.39739e-05,10.686,-40.1779,52.446,-23.4707,0.227324,-0.0161857,-0.00264483,0.000113341,-2.73032,10.2056,-13.2745,5.92646,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.652218,1.1,0.0764428,-0.000536098,-1.39035e-05,9.78112,-36.0038,46.0109,-20.1585,0.202124,-0.0224852,-0.00220893,0.000118094,-3.28502,12.0454,-15.3572,6.71773,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.654716,1.2,0.0750387,-0.000505742,1.8676e-05,9.76362,-35.801,45.5761,-19.8915,0.168866,-0.0276705,-0.00171297,0.000125718,-3.93124,14.3787,-18.2765,7.96842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.642256,1.3,0.0737893,-0.00041767,2.77024e-05,10.8824,-40.6744,52.7824,-23.4829,0.128875,-0.0316128,-0.0012255,0.000117398,-4.93403,18.4134,-23.8722,10.614,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.671671,1.4,0.0728294,-0.000279179,3.73878e-05,8.81635,-31.5063,39.0924,-16.6299,0.083747,-0.0343116,-0.000756367,0.000111146,-4.28648,15.306,-18.982,8.07217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.651942,1.5,0.072277,-0.000119637,3.99129e-05,10.2536,-37.7471,48.2501,-21.1459,0.03528,-0.0357765,-0.000309606,0.000105805,-5.12222,18.8551,-24.0997,10.5612,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.650716,1.6,0.0721791,4.9589e-05,4.08105e-05,10.3334,-38.1083,48.8005,-21.4264,-0.0145935,-0.0360282,0.000127407,0.000105089,-5.09502,18.801,-24.0841,10.5766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.668026,1.7,0.0725469,0.000214883,3.8555e-05,9.01633,-32.3863,40.3957,-17.2759,-0.0638853,-0.0350691,0.000568532,0.000108356,-4.20994,15.1426,-18.9025,8.08817,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.636899,1.8,0.0733456,0.000363653,3.29764e-05,11.2645,-42.4362,55.5157,-24.9019,-0.11063,-0.0328867,0.00102723,0.000114994,-4.75614,17.9564,-23.5208,10.5592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.648042,1.9,0.0744938,0.000477275,2.19181e-05,10.1849,-37.7072,48.4794,-21.3713,-0.152964,-0.0294611,0.00150889,0.000122085,-3.67275,13.6436,-17.5763,7.75843,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.628677,2,0.0758517,0.000531238,3.74937e-06,11.6316,-44.3905,58.8303,-26.7332,-0.189201,-0.02479,0.00200345,0.000124357,-3.31121,12.7001,-16.8812,7.68605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.625011,2.1,0.077219,0.00049908,-2.11721e-05,11.7889,-45.2575,60.3331,-27.5775,-0.217894,-0.0189287,0.00247613,0.000113984,-2.32602,9.00225,-12.0588,5.52946,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.64078,2.2,0.0783523,0.000365747,-4.76557e-05,10.2926,-38.545,50.1231,-22.3478,-0.237901,-0.0120401,0.00286481,8.3801e-05,-1.04926,3.99758,-5.25145,2.35715,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.625147,2.3,0.0790157,0.000144986,-6.59129e-05,11.5892,-44.4922,59.3088,-27.1061,-0.248423,-0.00443088,0.00309402,3.34813e-05,-0.0309178,0.197216,-0.325751,0.16803,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.627384,2.4,0.0790563,-0.000113669,-6.70983e-05,11.4212,-43.697,58.0462,-26.436,-0.249041,0.00345865,0.0031081,-2.62648e-05,1.10536,-4.15366,5.45728,-2.46706,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.647184,2.5,0.0784642,-0.000342457,-5.05872e-05,9.88242,-36.6572,47.2082,-20.8433,-0.239731,0.0111286,0.00290334,-7.85485e-05,1.9016,-6.99317,8.9589,-3.94161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.632655,2.6,0.0773773,-0.000488115,-2.45334e-05,11.2382,-42.6456,56.1832,-25.3761,-0.220864,0.0181262,0.00253035,-0.000111421,3.14838,-11.8866,15.6115,-7.03657,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.661578,2.7,0.0760252,-0.00053241,9.73642e-07,9.15853,-33.2351,41.8716,-18.0854,-0.193191,0.0241263,0.00206421,-0.000123929,3.26866,-11.8207,14.8611,-6.40979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.657866,2.8,0.0746541,-0.000487761,2.00844e-05,9.57794,-34.9514,44.2811,-19.2336,-0.157817,0.0289496,0.00156991,-0.000122772,4.01557,-14.6209,18.4985,-8.02753,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.644574,2.9,0.0734712,-0.000380065,3.19283e-05,10.7272,-39.949,51.6538,-22.8979,-0.116151,0.0325301,0.00108566,-0.00011592,4.98703,-18.5481,23.9634,-10.6171,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.672995,3,0.0726236,-0.000234563,3.81174e-05,8.74765,-31.1983,38.6334,-16.4022,-0.0698539,0.0348655,0.000624213,-0.000109053,4.30512,-15.3451,18.995,-8.06243,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.652019,3.1,0.0721998,-7.04304e-05,4.06108e-05,10.2494,-37.7262,48.2168,-21.1285,-0.0207724,0.0359751,0.000181487,-0.000105235,5.12183,-18.8545,24.0986,-10.5602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.64958,3.2,0.0722393,9.87324e-05,4.03291e-05,10.4065,-38.4441,49.3157,-21.6902,0.0291373,0.0358734,-0.000255114,-0.000105567,5.07251,-18.7539,24.0683,-10.5889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.665746,3.3,0.072738,0.000260678,3.75042e-05,9.14108,-32.946,41.234,-17.6946,0.0778853,0.0345592,-0.000700195,-0.000110108,4.16573,-15.0381,18.8387,-8.08918,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.633923,3.4,0.0736503,0.000401665,3.01152e-05,11.4781,-43.4432,57.0993,-25.7322,0.123528,0.0320153,-0.00116568,-0.000117062,4.65886,-17.6765,23.2665,-10.4952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.644606,3.5,0.0748756,0.000499904,1.80384e-05,10.4042,-38.7244,50.0525,-22.1823,0.164247,0.0282252,-0.00165275,-0.000123862,3.53523,-13.2082,17.1103,-7.59423,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.622451,3.6,0.0762623,0.000533,-4.44507e-06,12.1581,-46.8648,62.7312,-28.7912,0.198417,0.0231956,-0.0021466,-0.000122308,3.16362,-12.2634,16.4702,-7.57591,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.617634,3.7,0.0775811,0.000467868,-2.56437e-05,12.4533,-48.38,65.267,-30.1894,0.224677,0.0170145,-0.00260033,-0.000109063,2.11919,-8.31189,11.2768,-5.23564,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.638327,3.8,0.0786136,0.000315292,-6.23826e-05,10.4693,-39.3594,51.3805,-22.9969,0.24198,0.00987027,-0.00295452,-6.71175e-05,0.766055,-2.9499,3.90554,-1.76435,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.615348,3.9,0.0790727,5.5047e-05,-4.96707e-05,12.5351,-48.8909,66.2109,-30.7428,0.249636,0.00214451,-0.00311445,-2.505e-05,-0.331735,1.20858,-1.56734,0.706267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.62896,4,0.0789978,-0.000150232,-0.000106496,11.3074,-43.1575,57.1891,-25.9813,0.24734,-0.00576808,-0.00308665,6.314e-05,-1.4169,5.33551,-7.01225,3.1681,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.649963,4.1,0.0780652,-0.000480755,5.409e-05,9.71085,-35.8621,45.9835,-20.2149,0.235183,-0.0132007,-0.00276817,4.43653e-05,-2.12636,7.79357,-9.94747,4.35961,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.622177,4.2,0.0772912,-0.000309521,-0.000240153,12.2682,-47.3546,63.4497,-29.1441,0.21365,-0.0201303,-0.00249581,0.000222432,-3.72815,14.3302,-19.1516,8.78165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.677246,4.3,0.0749197,-0.00100175,0.000520525,8.17381,-28.9483,35.6091,-15.0201,0.183599,-0.0253324,-0.00169673,-0.000117547,-3.07832,10.8655,-13.3383,5.61846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.660839,4.4,0.0759425,0.000646185,-0.00116211,9.44517,-34.3833,43.4145,-18.7852,0.146229,-0.0309084,-0.00194923,0.000680899,-4.10462,14.9159,-18.8134,8.13445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.646614,4.5,0.0692367,-0.00291839,0.00276297,10.4935,-38.7652,49.831,-21.9841,0.10303,-0.0314774,0.000268018,-0.00117387,-4.98279,18.388,-23.6213,10.4164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.702664,4.6,0.0817737,0.00572807,-0.00654036,7.22615,-24.9898,29.837,-12.1815,0.0557225,-0.0397136,-0.00328492,0.00321336,-3.5835,12.3806,-14.7736,6.02938,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
