id,type,readonly,group,name
0,8,1,imu_sensors,BMP388
1,8,1,imu_sensors,HMC5883L
2,8,1,imu_sensors,MS5611
3,8,1,imu_tests,MPU6500
4,8,1,imu_tests,HMC5883L
5,8,1,imu_tests,MS5611
6,8,1,imu_sensors,BMP388
7,8,0,pwm,enable
8,6,0,pwm,d00
9,6,0,pwm,d10
10,6,0,pwm,d01
11,6,0,pwm,d20
12,6,0,pwm,d11
13,6,0,pwm,e00
14,6,0,pwm,e10
15,6,0,pwm,e01
16,9,1,cpu,flash
17,10,1,cpu,id0
18,10,1,cpu,id1
19,10,1,cpu,id2
20,0,1,system,selftestPassed
21,0,0,system,forceArm
22,8,0,sound,effect
23,10,1,sound,neffect
24,9,0,sound,freq
25,8,0,sound,ratio
26,8,0,system,taskDump
27,8,0,memTst,resetW
28,8,0,commander,enHighLevel
29,8,0,flightmode,althold
30,8,0,flightmode,poshold
31,8,0,flightmode,posSet
32,8,0,flightmode,yawMode
33,8,0,flightmode,yawRst
34,8,0,flightmode,stabModeRoll
35,8,0,flightmode,stabModePitch
36,8,0,flightmode,stabModeYaw
37,6,0,cmdrCPPM,rateRoll
38,6,0,cmdrCPPM,ratePitch
39,6,0,cmdrCPPM,rateYaw
40,6,0,cmdrCPPM,angRoll
41,6,0,cmdrCPPM,angPitch
42,8,0,locSrv,enRangeStreamFP32
43,8,0,locSrv,enLhAngleStream
44,6,0,locSrv,extPosStdDev
45,6,0,locSrv,extQuatStdDev
46,6,0,pid_attitude,roll_kp
47,6,0,pid_attitude,roll_ki
48,6,0,pid_attitude,roll_kd
49,6,0,pid_attitude,pitch_kp
50,6,0,pid_attitude,pitch_ki
51,6,0,pid_attitude,pitch_kd
52,6,0,pid_attitude,yaw_kp
53,6,0,pid_attitude,yaw_ki
54,6,0,pid_attitude,yaw_kd
55,6,0,pid_rate,roll_kp
56,6,0,pid_rate,roll_ki
57,6,0,pid_rate,roll_kd
58,6,0,pid_rate,pitch_kp
59,6,0,pid_rate,pitch_ki
60,6,0,pid_rate,pitch_kd
61,6,0,pid_rate,yaw_kp
62,6,0,pid_rate,yaw_ki
63,6,0,pid_rate,yaw_kd
64,6,0,sensfusion6,kp
65,6,0,sensfusion6,ki
66,6,0,sensfusion6,baseZacc
67,8,0,health,startPropTest
68,8,0,stabilizer,estimator
69,8,0,stabilizer,controller
70,8,0,stabilizer,stop
71,6,0,posEstAlt,estAlphaAsl
72,6,0,posEstAlt,estAlphaZr
73,6,0,posEstAlt,velFactor
74,6,0,posEstAlt,velZAlpha
75,6,0,posEstAlt,vAccDeadband
76,6,0,posCtlPid,xKp
77,6,0,posCtlPid,xKi
78,6,0,posCtlPid,xKd
79,6,0,posCtlPid,yKp
80,6,0,posCtlPid,yKi
81,6,0,posCtlPid,yKd
82,6,0,posCtlPid,zKp
83,6,0,posCtlPid,zKi
84,6,0,posCtlPid,zKd
85,9,0,posCtlPid,thrustBase
86,9,0,posCtlPid,thrustMin
87,6,0,posCtlPid,rpLimit
88,6,0,posCtlPid,xyVelMax
89,6,0,posCtlPid,zVelMax
90,6,0,velCtlPid,vxKp
91,6,0,velCtlPid,vxKi
92,6,0,velCtlPid,vxKd
93,6,0,velCtlPid,vyKp
94,6,0,velCtlPid,vyKi
95,6,0,velCtlPid,vyKd
96,6,0,velCtlPid,vzKp
97,6,0,velCtlPid,vzKi
98,6,0,velCtlPid,vzKd
99,6,0,posCtrlIndi,K_xi_x
100,6,0,posCtrlIndi,K_xi_y
101,6,0,posCtrlIndi,K_xi_z
102,6,0,posCtrlIndi,K_dxi_x
103,6,0,posCtrlIndi,K_dxi_y
104,6,0,posCtrlIndi,K_dxi_z
105,8,0,controller,tiltComp
106,6,0,ctrlMel,kp_xy
107,6,0,ctrlMel,kd_xy
108,6,0,ctrlMel,ki_xy
109,6,0,ctrlMel,i_range_xy
110,6,0,ctrlMel,kp_z
111,6,0,ctrlMel,kd_z
112,6,0,ctrlMel,ki_z
113,6,0,ctrlMel,i_range_z
114,6,0,ctrlMel,mass
115,6,0,ctrlMel,massThrust
116,6,0,ctrlMel,kR_xy
117,6,0,ctrlMel,kR_z
118,6,0,ctrlMel,kw_xy
119,6,0,ctrlMel,kw_z
120,6,0,ctrlMel,ki_m_xy
121,6,0,ctrlMel,ki_m_z
122,6,0,ctrlMel,kd_omega_rp
123,6,0,ctrlMel,i_range_m_xy
124,6,0,ctrlMel,i_range_m_z
125,6,0,ctrlINDI,thrust_threshold
126,6,0,ctrlINDI,bound_ctrl_input
127,6,0,ctrlINDI,roll_kp
128,6,0,ctrlINDI,pitch_kp
129,6,0,ctrlINDI,yaw_kp
130,6,0,ctrlINDI,g1_p
131,6,0,ctrlINDI,g1_q
132,6,0,ctrlINDI,g1_r
133,6,0,ctrlINDI,g2
134,6,0,ctrlINDI,ref_err_p
135,6,0,ctrlINDI,ref_err_q
136,6,0,ctrlINDI,ref_err_r
137,6,0,ctrlINDI,ref_rate_p
138,6,0,ctrlINDI,ref_rate_q
139,6,0,ctrlINDI,ref_rate_r
140,6,0,ctrlINDI,act_dyn_p
141,6,0,ctrlINDI,act_dyn_q
142,6,0,ctrlINDI,act_dyn_r
143,6,0,ctrlINDI,filt_cutoff
144,6,0,ctrlINDI,filt_cutoff_r
145,8,0,ctrlINDI,outerLoopActive
146,8,0,motorPowerSet,enable
147,9,0,motorPowerSet,m1
148,9,0,motorPowerSet,m2
149,9,0,motorPowerSet,m3
150,9,0,motorPowerSet,m4
151,10,0,powerDist,idleThrust
152,8,0,kalman,resetEstimation
153,8,0,kalman,quadIsFlying
154,6,0,kalman,pNAcc_xy
155,6,0,kalman,pNAcc_z
156,6,0,kalman,pNVel
157,6,0,kalman,pNPos
158,6,0,kalman,pNAtt
159,6,0,kalman,mNBaro
160,6,0,kalman,mNGyro_rollpitch
161,6,0,kalman,mNGyro_yaw
162,6,0,kalman,initialX
163,6,0,kalman,initialY
164,6,0,kalman,initialZ
165,6,0,kalman,initialYaw
166,6,0,kalman,maxPos
167,6,0,kalman,maxVel
168,8,0,colAv,enable
169,6,0,colAv,ellipsoidX
170,6,0,colAv,ellipsoidY
171,6,0,colAv,ellipsoidZ
172,6,0,colAv,bboxMinX
173,6,0,colAv,bboxMinY
174,6,0,colAv,bboxMinZ
175,6,0,colAv,bboxMaxX
176,6,0,colAv,bboxMaxY
177,6,0,colAv,bboxMaxZ
178,6,0,colAv,horizon
179,6,0,colAv,maxSpeed
180,6,0,colAv,sidestepThrsh
181,2,0,colAv,maxPeerLocAge
182,6,0,colAv,vorTol
183,2,0,colAv,vorIters
184,6,0,hlCommander,vtoff
185,6,0,hlCommander,vland
186,8,1,deck,bcLedRing
187,8,0,ring,effect
188,10,1,ring,neffect
189,8,0,ring,solidRed
190,8,0,ring,solidGreen
191,8,0,ring,solidBlue
192,8,0,ring,headlightEnable
193,6,0,ring,glowstep
194,6,0,ring,emptyCharge
195,6,0,ring,fullCharge
196,10,0,ring,fadeColor
197,6,0,ring,fadeTime
198,8,0,system,highlight
199,8,1,deck,bcBuzzer
200,8,1,deck,bcGTGPS
201,8,1,deck,bcCPPM
202,8,1,deck,bcUSD
203,8,0,usd,logging
204,8,1,deck,bcZRanger
205,8,1,deck,bcZRanger2
206,8,1,deck,bcDWM1000
207,8,0,loco,mode
208,8,0,tdoaEngine,logId
209,8,0,tdoaEngine,logOthrId
210,8,0,tdoaEngine,matchAlgo
211,8,1,deck,bcFlow
212,8,1,deck,bcFlow2
213,8,0,motion,disable
214,8,0,motion,adaptive
215,6,0,motion,flowStdFixed
216,8,1,deck,bcOA
217,8,1,deck,bcMultiranger
218,8,1,deck,bdLighthouse4
219,8,0,activeMarker,front
220,8,0,activeMarker,back
221,8,0,activeMarker,left
222,8,0,activeMarker,right
223,8,0,activeMarker,mode
224,8,0,activeMarker,poll
225,8,1,deck,bcAIDeck
226,10,1,firmware,revision0
227,9,1,firmware,revision1
228,8,1,firmware,modified
229,8,0,lighthouse,method
230,6,0,lighthouse,sweepStd
231,6,0,lighthouse,sweepStd2
